# RA	DEC	class	z	D (cm)	Objname	log(L_[OIII])	log(L_MIR)	log(L_x(2-10))			F_i(2-10)	F_i(14-195)	logNH(low-upper)	F_OIII(cgs	F_MIR(cgs)	L_MIR(lower limit)	H/S	cm/Mpc	c	H
#											10^-12 erg cm^-2 s^-1		cm^-2					3.09E+24	3.00E+05	67.8
18h36m58.29s	-59d24m08.6s	Sy1.9	0.0201	2.74E+26	Fairall49	41.37165123	44.16698429	43.40409151			26.8	15.9	22.03[22.02-22.04]		6.23E-24		H			
03h22m41.72s	-37d12m29.6s		0.004265290601	5.82E+25	FornaxA	38.72836222	41.26357074	40.3						1.26E-14	0		H			
14h57m41.18s	-43d07m55.6s	Sy2	0.016261	2.22E+26	IC4518A	41.2154046	43.56672683	42.65518196			7.3	32.1	23.36[23.28-23.45]		2.39E-24		H			
04h14m52.67s	-07d55m39.9s	Sy1.5	0.03816	5.21E+26	IRAS04124-0803	42.21519095	44.20594269	43.2651751			5.4	18.7	20.0[20.0-20.0]		1.89E-24		H			
05h24m06.50s	-12d09m59.6s	Sy1.5	0.049	6.69E+26	IRAS05218-1212	42.5649853	44.25532972	43.39340944			4.4	17.9	20.00[20.00-20.00]		1.29E-24	*	H			
09h16m09.39s	-62d19m29.9s	Sy1	0.0573	7.82E+26	IRAS09149-6206	42.59450032	44.95903728	43.95405971			11.7	31.2	20.00[20.00-20.00]		4.75E-24		H			
05h02m58.22s	22d59m51.8s	Sy1.5	0.0577	7.88E+26	LEDA097068	42.50284511	44.78724774	43.98182134			12.3	20.7	20.00[20.00-20.00]		3.15E-24		H			
12h39m06.29s	-16d10m47.1s	Sy2	0.03605	4.92E+26	LEDA170194	42.22886726	43.5426028	42.94577314			2.9	37.7	22.76[22.72-22.79]		4.60E-25		H			
16h50m42.73s	04d36m18.0s	Sy2	0.03229	4.41E+26	LEDA214543	41.81564712	43.19914387	43.0866707			5	23	22.58[22.49-22.67]		2.60E-25		H			
12h18m57.50s	47d18m14.3s	Sy1.9	0.0016	2.18E+25	M106	39.0779819	42.52645691	40.61031348			6.8	20.1	23.00[23.98-23.01]		2.25E-23		H			
13h29m52.71s	47d11m42.6s		0.00181836073	2.48E+25	M51a	38.94275637	40.69357074	40.4						1.14E-13	0		H			
09h55m33.17s	69d03m55.1s	Sy1.9	0.000855	1.17E+25	M81	38.64293636	41.50264726	38.8							7.46E-24		H			
